objectid,filename,title,owner,count,description,color,size,article,location,condition,dances,type,format,rights
Dc1.1,Dc1.1.jpg,Patchwork cloak,AADC,1,black velvet cloak with patchwork material sewn on back,black; multicolor,n/a,cloak,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.2-3,Dc1.2-3.jpg,Silver Overshirt,AADC,2,sheer rhinestone tulle overshirt,silver,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.4-5,Dc1.4-5.jpg,Plum Overshirt,AADC,2,sheer rhinestone tulle overshirt,plum; purple,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.6-7,Dc1.6-7.jpg,Teal Overshirt,AADC,2,sheer rhinestone tulle overshirt,teal; blue; green,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.8-9,Dc1.8-9.jpg,Light Pink Overshirt,AADC,2,sheer rhinestone tulle overshirt,light pink; pink,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.10,Dc1.10.jpg,Hot Pink Overshirt,AADC,1,sheer rhinestone tulle overshirt,hot pink; pink,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.11-12,Dc1.11-12.jpg,Lavendar Overshirt,AADC,2,sheer rhinestone tulle overshirt,lavender; purple,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.13,Dc1.13.jpg,Coral Overshirt,AADC,1,sheer rhinestone tulle overshirt; small tear on shoulder,coral; pink,n/a,overshirt,Cabinet 1,fair,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.14,Dc1.14.jpg,Cerulean Overshirt,AADC,1,sheer rhinestone tulle overshirt,cerulean; blue,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
Dc1.15,Dc1.15.jpg,Brown Overshirt,AADC,1,sheer rhinestone tulle overshirt,chocolate brown; brown,n/a,overshirt,Cabinet 1,good,,Image;StillImage,image/jpeg,In Copyright- AAAI
